Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Wonderland,12,0,0,0,0,193,516,1009,1312,669,321,241,219,227,239,207,216,200,124,101,116,86,45,43
Revere Beach,25,0,0,0,0,342,766,1405,1739,901,490,409,332,395,436,371,385,356,72,160,158,135,84,80
Beachmont,26,0,0,0,0,483,1053,1833,2291,1176,666,529,441,485,548,479,471,468,60,195,183,144,110,86
Suffolk Downs,26,0,0,0,0,492,1106,1931,2417,1235,712,548,461,506,584,507,511,512,28,204,210,145,116,92
Orient Heights,29,0,0,0,0,659,1499,2506,3147,1598,937,695,596,619,725,660,673,652,94,242,255,176,159,129
Wood Island,33,0,0,0,0,754,1722,2779,3411,1753,1056,747,662,672,794,748,788,717,49,252,289,183,178,150
Airport,50,0,0,0,0,1033,2169,3381,4002,2177,1386,996,924,938,1241,1162,1186,1140,268,436,415,338,353,227
Maverick,44,0,0,0,0,1504,3154,4529,5134,2943,1870,1272,1238,1240,1754,1640,1669,1542,204,581,522,378,413,276
Aquarium,54,0,0,0,0,1367,2914,4047,4380,2549,1674,1188,1245,1215,1731,1677,1789,1708,309,666,588,430,426,303
State,24,0,0,0,0,725,1535,2315,2561,1426,941,701,694,685,904,990,927,855,94,335,249,179,173,103
Government Center,1,0,0,0,0,66,181,343,344,151,73,49,47,50,51,31,21,38,1,8,8,5,5,4
Bowdoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
