Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Forest Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Street,93,0,0,0,0,197,710,513,404,298,352,418,517,665,1177,1541,2082,2408,1335,995,712,603,437,354
Stony Brook,112,0,0,0,0,200,758,678,495,415,441,505,619,776,1351,1753,2473,3012,1720,1214,868,762,551,433
Jackson Square,142,0,0,0,0,198,750,713,590,495,506,595,741,901,1528,2014,2857,3583,2061,1483,1085,968,683,508
Roxbury Crossing,180,0,0,0,0,221,733,853,738,610,624,724,946,1144,1924,2397,3375,4156,2384,1752,1268,1190,877,664
Ruggles,206,0,0,0,0,232,860,1034,894,688,677,785,1047,1196,1985,2505,3585,4527,2544,1867,1347,1290,967,715
Mass. Ave.,220,0,0,0,0,342,1333,1974,1836,1227,1089,1223,1399,1621,2340,2834,3971,4897,2740,2056,1628,1452,1085,777
Back Bay,226,0,0,0,0,374,1410,2189,2130,1446,1271,1340,1546,1751,2518,2935,4062,5168,2797,2155,1665,1482,1098,784
NE Medical Center,214,0,0,0,0,518,2007,3787,4398,2467,1664,1630,1872,1979,2550,3139,4347,5573,2898,2106,1609,1407,1062,717
Chinatown,192,0,0,0,0,586,2290,4419,5112,2791,1822,1725,1978,2079,2691,3183,4230,5531,2850,2070,1620,1423,1074,677
Downtown Crossing,185,0,0,0,0,655,2489,4776,5747,3287,2135,1911,2161,2170,2814,3272,4262,5475,2859,2040,1589,1371,1053,645
State,114,0,0,0,0,1069,3075,5674,6884,3661,2397,1947,2065,2078,2563,2771,3728,4472,2124,1423,1233,936,754,458
Haymarket,85,0,0,0,0,831,2494,5345,7312,3614,2174,1827,1794,1734,2050,2293,2768,3209,1561,1054,994,738,575,301
North Station,71,0,0,0,0,751,2269,5233,7248,3538,2063,1721,1644,1624,1825,2040,2380,2793,1416,942,871,604,448,247
Community College,68,0,0,0,0,959,2495,5230,6872,3720,2092,1801,1724,1647,1797,1901,1976,2297,1193,797,814,542,401,183
Sullivan Square,58,0,0,0,0,949,2458,5206,6877,3637,1991,1540,1467,1332,1550,1545,1619,1756,995,638,492,282,363,149
Wellington,0,0,0,0,0,626,1891,4303,5785,2845,1507,1205,1057,1029,1024,1003,1044,1177,681,424,323,17,1,0
Malden,0,0,0,0,0,516,1521,3591,4743,2226,1161,950,793,769,763,699,700,759,436,292,223,16,0,0
Oak Grove,0,0,0,0,0,18,67,240,198,58,46,21,20,16,23,29,41,38,21,33,4,0,0,1
