Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Forest Hills,33,0,0,0,0,309,1112,2634,2884,1484,800,644,661,580,672,865,881,777,503,375,258,198,199,95
Green Street,45,0,0,0,0,350,1237,2958,3590,1937,996,775,797,710,802,1069,1052,949,622,469,295,242,253,113
Stony Brook,58,0,0,0,0,380,1387,3354,4314,2432,1202,937,894,825,929,1217,1172,1113,724,545,360,287,268,135
Jackson Square,59,0,0,0,0,495,1699,4017,5054,2880,1504,1170,1050,1037,1076,1369,1413,1447,887,633,448,367,323,179
Roxbury Crossing,63,0,0,0,0,523,1760,4038,5414,3069,1616,1287,1200,1207,1301,1641,1595,1626,1032,760,549,439,367,205
Ruggles,88,0,0,0,0,594,1939,4097,5621,3230,1814,1509,1454,1656,1839,2324,2617,2654,1822,1217,1052,735,517,294
Mass. Ave.,101,0,0,0,0,599,2010,4317,5918,3305,1888,1586,1546,1780,1972,2440,2866,2917,2016,1317,1181,832,617,349
Back Bay,147,0,0,0,0,557,2046,4344,6507,3355,1920,1687,1623,2009,2328,2934,4077,4949,3250,1856,1652,1133,908,593
NE Medical Center,176,0,0,0,0,548,1986,4203,6202,3294,1977,1762,1749,2069,2442,3211,4647,5471,3543,2074,1742,1169,949,665
Chinatown,188,0,0,0,0,544,1971,4131,5956,3132,1971,1809,1913,2261,2615,3458,5067,5919,3739,2224,1896,1323,1102,774
Downtown Crossing,257,0,0,0,0,463,1851,3452,4759,2545,1630,1686,1815,2048,2552,3710,5329,6393,3933,2437,2063,1503,1401,923
State,202,0,0,0,0,435,1583,2745,3264,1927,1363,1328,1544,1767,2165,3132,5119,6424,3827,2287,1928,1296,1165,762
Haymarket,211,0,0,0,0,414,1446,2333,2589,1598,1167,1183,1356,1656,2074,2987,5026,6247,3653,2211,1875,1257,1138,739
North Station,261,0,0,0,0,306,1083,1680,1773,1238,1022,1124,1283,1636,2069,3020,4762,6075,3727,2297,1936,1408,1254,859
Community College,253,0,0,0,0,269,746,1199,1133,775,665,907,1133,1342,1726,2816,4627,5729,3620,2237,1971,1422,1228,843
Sullivan Square,158,0,0,0,0,158,392,673,689,502,462,641,825,983,1276,2104,3777,4649,2889,1772,1494,1023,887,542
Wellington,113,0,0,0,0,82,237,405,431,356,343,499,631,766,1005,1624,3081,3821,2380,1429,1228,793,695,407
Malden,0,0,0,0,0,9,8,25,12,20,8,21,28,34,42,77,168,156,112,68,36,26,16,9
Oak Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
