Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
JFK/UMass,108,0,0,0,0,63,478,399,342,272,310,346,507,646,1078,1598,1841,2169,1258,899,751,600,490,424
Andrew,154,0,0,0,0,146,511,1056,868,608,709,631,771,905,1344,2105,3194,3923,2183,1403,1101,920,744,513
Broadway,171,0,0,0,0,195,561,1098,913,635,738,673,818,953,1425,2195,3293,4132,2311,1478,1178,997,796,552
South Station,181,0,0,0,0,206,589,1163,979,679,772,702,863,1004,1453,2243,3325,4273,2380,1547,1221,1027,833,572
Downtown Crossing,179,0,0,0,0,291,809,1972,2539,1434,1017,831,963,1124,1499,2323,3416,4084,2209,1512,1176,1002,784,554
Park Street,184,0,0,0,0,128,503,1694,2738,1565,943,797,885,985,1269,2059,2968,3580,1957,1431,1080,1019,812,576
Charles/MGH,157,0,0,0,0,167,661,2126,3711,2094,1153,926,978,1015,1201,1895,2588,3220,2027,1468,1032,965,775,590
Kendall/MIT,153,0,0,0,0,188,810,2359,4043,2299,1193,948,960,1004,1118,1595,2152,2856,1904,1347,967,957,745,488
Central,140,0,0,0,0,202,850,2549,4466,2778,1382,1017,966,986,1040,1342,1644,2068,1591,1159,814,865,692,437
Harvard,103,0,0,0,0,171,743,2329,3866,2410,1173,860,824,845,854,1149,1366,1699,1393,1012,691,787,583,372
Porter,38,0,0,0,0,122,607,1988,3357,2026,876,595,539,471,474,510,613,846,815,559,331,330,300,167
Davis,30,0,0,0,0,91,452,1475,2527,1483,677,461,396,351,335,401,467,663,622,412,213,230,212,136
Alewife,6,0,0,0,0,45,238,790,1167,675,362,210,191,156,151,181,264,392,353,202,86,76,90,44
