GEO.id,GEO.id2,GEO.display-label,HD01_VD01,Carpool,Drive Alone,Transit,Walk,Bike,Other,Work from Home
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",1802,38,1042,398,215,59,0,42
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",2146,108,1312,493,123,25,8,77
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",1791,83,1115,311,189,27,0,66
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",1421,94,854,214,47,58,0,154
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",1733,171,1012,416,113,0,0,21
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",2625,119,1048,898,264,131,22,143
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",1755,82,944,487,127,41,0,74
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",2644,134,425,846,912,14,46,267
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",1276,37,402,712,58,0,0,67
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",2621,154,926,1213,102,67,10,136
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",1637,124,746,529,69,18,34,117
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",1775,151,666,648,157,55,17,81
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",2305,248,730,757,288,32,0,250
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",1516,16,191,639,450,68,39,113
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",2398,249,528,1096,249,190,0,86
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",4576,180,1342,1855,843,201,0,155
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",2007,9,246,497,1119,42,24,70
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",1550,21,113,327,901,24,6,158
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",2339,44,247,632,1191,73,30,122
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",2708,58,532,599,1235,129,23,132
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",1594,21,227,423,832,53,0,38
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",2125,98,140,420,1180,35,21,231
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",1470,94,184,563,466,0,0,163
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",2157,21,287,463,1156,13,58,159
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",2385,67,295,778,1129,33,0,83
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",1125,69,258,301,419,6,0,72
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",1568,48,237,638,534,30,11,70
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",1582,19,601,532,365,29,0,36
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",1996,42,651,401,739,36,0,127
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",1620,24,414,321,650,1,25,185
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",2104,137,687,278,603,103,27,269
1400000US25025010802,25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",1813,111,373,542,547,32,47,161
1400000US25025020101,25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",2789,28,391,488,1584,46,60,192
1400000US25025020200,25025020200,"Census Tract 202, Suffolk County, Massachusetts",2850,15,435,608,1581,39,82,90
1400000US25025020301,25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",1464,0,301,361,695,0,55,52
1400000US25025020302,25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",819,4,150,141,490,0,0,34
1400000US25025020303,25025020303,"Census Tract 203.03, Suffolk County, Massachusetts",1556,32,313,344,654,54,90,69
1400000US25025030100,25025030100,"Census Tract 301, Suffolk County, Massachusetts",1474,29,302,144,912,58,20,9
1400000US25025030200,25025030200,"Census Tract 302, Suffolk County, Massachusetts",1146,9,169,423,485,30,0,30
1400000US25025030300,25025030300,"Census Tract 303, Suffolk County, Massachusetts",3056,17,565,420,1724,19,113,198
1400000US25025030400,25025030400,"Census Tract 304, Suffolk County, Massachusetts",1827,16,343,483,890,20,0,75
1400000US25025030500,25025030500,"Census Tract 305, Suffolk County, Massachusetts",2079,36,633,359,930,0,39,82
1400000US25025040100,25025040100,"Census Tract 401, Suffolk County, Massachusetts",1350,54,621,144,306,48,29,148
1400000US25025040200,25025040200,"Census Tract 402, Suffolk County, Massachusetts",653,69,285,167,101,12,4,15
1400000US25025040300,25025040300,"Census Tract 403, Suffolk County, Massachusetts",2594,285,1264,584,304,17,0,140
1400000US25025040401,25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",1268,94,479,548,147,0,0,0
1400000US25025040600,25025040600,"Census Tract 406, Suffolk County, Massachusetts",1977,93,1130,529,91,38,0,96
1400000US25025040801,25025040801,"Census Tract 408.01, Suffolk County, Massachusetts",1917,236,774,520,262,43,38,44
1400000US25025050101,25025050101,"Census Tract 501.01, Suffolk County, Massachusetts",2796,412,928,1110,300,0,8,38
1400000US25025050200,25025050200,"Census Tract 502, Suffolk County, Massachusetts",2969,269,663,1748,200,0,16,73
1400000US25025050300,25025050300,"Census Tract 503, Suffolk County, Massachusetts",721,41,141,437,81,0,0,21
1400000US25025050400,25025050400,"Census Tract 504, Suffolk County, Massachusetts",1389,107,301,882,75,0,0,24
1400000US25025050500,25025050500,"Census Tract 505, Suffolk County, Massachusetts",1118,53,256,769,39,1,0,0
1400000US25025050600,25025050600,"Census Tract 506, Suffolk County, Massachusetts",1262,65,111,988,65,0,0,33
1400000US25025050700,25025050700,"Census Tract 507, Suffolk County, Massachusetts",2828,238,539,1868,170,0,0,13
1400000US25025050901,25025050901,"Census Tract 509.01, Suffolk County, Massachusetts",2741,193,829,1573,65,0,17,64
1400000US25025051000,25025051000,"Census Tract 510, Suffolk County, Massachusetts",2018,102,995,794,21,11,0,95
1400000US25025051101,25025051101,"Census Tract 511.01, Suffolk County, Massachusetts",3608,299,1253,1845,95,0,32,84
