GEO.id,GEO.id2,GEO.display-label,Total,Less than 5 ,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 59,60 and Over
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",1760,26,53,197,208,278,53,464,68,85,202,126
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",2069,59,90,138,287,433,125,327,67,135,297,111
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",1725,24,129,96,149,208,217,543,7,91,168,93
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",1267,0,99,167,150,190,106,285,25,127,85,33
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",1712,10,99,37,171,249,136,429,56,149,190,186
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",2482,0,56,137,370,284,321,440,88,175,366,245
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",1681,12,151,151,161,243,85,239,73,173,275,118
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",2377,48,318,364,244,240,96,356,72,193,247,199
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",1209,0,39,54,32,141,66,245,148,106,245,133
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",2485,0,61,63,160,227,113,844,165,205,466,181
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",1520,19,58,108,218,135,51,354,83,135,316,43
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",1694,0,73,113,209,237,134,364,46,123,247,148
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",2055,0,86,71,165,177,142,435,135,347,160,337
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",1403,35,49,85,114,276,62,424,12,160,81,105
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",2312,0,22,202,183,390,64,444,129,291,368,219
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",4421,8,239,532,604,571,237,793,82,439,537,379
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",1937,187,354,287,341,252,78,230,0,59,98,51
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",1392,141,405,263,195,87,72,123,5,32,50,19
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",2217,138,273,364,344,415,109,257,27,70,150,70
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",2576,43,282,260,683,398,381,228,89,73,111,28
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",1556,37,380,199,200,246,61,220,28,31,44,110
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",1894,198,542,348,233,167,69,154,10,15,121,37
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",1307,18,200,82,90,283,122,104,22,39,220,127
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",1998,164,433,498,227,256,57,157,9,85,96,16
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",2302,201,571,308,246,270,107,273,7,62,156,101
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",1053,0,20,100,267,130,62,321,30,73,21,29
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",1498,74,221,189,242,239,113,184,24,54,63,95
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",1546,28,105,293,161,303,127,242,94,73,91,29
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",1869,62,170,297,246,289,195,264,0,119,133,94
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",1435,28,76,195,338,227,109,248,0,90,76,48
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",1835,32,200,259,286,385,97,181,96,45,188,66
1400000US25025010802,25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",1652,25,88,205,329,265,106,313,52,37,156,76
1400000US25025020101,25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",2597,15,180,271,731,464,205,229,132,51,193,126
1400000US25025020200,25025020200,"Census Tract 202, Suffolk County, Massachusetts",2760,51,354,369,618,562,221,252,60,116,119,38
1400000US25025020301,25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",1412,46,188,187,271,226,145,104,40,51,76,78
1400000US25025020302,25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",785,63,69,147,162,78,37,96,29,43,45,16
1400000US25025020303,25025020303,"Census Tract 203.03, Suffolk County, Massachusetts",1487,35,197,204,349,177,114,172,44,42,68,85
1400000US25025030100,25025030100,"Census Tract 301, Suffolk County, Massachusetts",1465,75,67,335,302,282,57,175,32,45,66,29
1400000US25025030200,25025030200,"Census Tract 302, Suffolk County, Massachusetts",1116,33,173,144,284,201,14,101,10,42,73,41
1400000US25025030300,25025030300,"Census Tract 303, Suffolk County, Massachusetts",2858,271,352,663,482,427,133,268,0,92,78,92
1400000US25025030400,25025030400,"Census Tract 304, Suffolk County, Massachusetts",1752,27,174,203,387,263,71,317,59,65,118,68
1400000US25025030500,25025030500,"Census Tract 305, Suffolk County, Massachusetts",1997,34,55,167,472,485,145,415,8,60,61,95
1400000US25025040100,25025040100,"Census Tract 401, Suffolk County, Massachusetts",1202,24,69,94,160,219,81,279,128,44,38,66
1400000US25025040200,25025040200,"Census Tract 402, Suffolk County, Massachusetts",638,0,61,100,65,89,10,66,24,40,115,68
1400000US25025040300,25025040300,"Census Tract 403, Suffolk County, Massachusetts",2454,25,34,252,362,441,226,459,87,273,219,76
1400000US25025040401,25025040401,"Census Tract 404.01, Suffolk County, Massachusetts",1268,11,213,113,100,193,148,207,45,58,51,129
1400000US25025040600,25025040600,"Census Tract 406, Suffolk County, Massachusetts",1881,19,150,147,392,433,176,205,52,61,90,156
1400000US25025040801,25025040801,"Census Tract 408.01, Suffolk County, Massachusetts",1873,12,122,123,178,231,102,413,35,39,294,324
1400000US25025050101,25025050101,"Census Tract 501.01, Suffolk County, Massachusetts",2758,0,170,312,363,302,104,567,117,62,368,393
1400000US25025050200,25025050200,"Census Tract 502, Suffolk County, Massachusetts",2896,14,118,178,288,325,160,799,76,236,294,408
1400000US25025050300,25025050300,"Census Tract 503, Suffolk County, Massachusetts",700,0,66,58,112,70,95,191,5,24,36,43
1400000US25025050400,25025050400,"Census Tract 504, Suffolk County, Massachusetts",1365,0,79,98,154,264,94,343,21,104,59,149
1400000US25025050500,25025050500,"Census Tract 505, Suffolk County, Massachusetts",1118,0,0,123,180,125,21,334,19,38,143,135
1400000US25025050600,25025050600,"Census Tract 506, Suffolk County, Massachusetts",1229,0,36,0,225,116,124,348,13,32,100,235
1400000US25025050700,25025050700,"Census Tract 507, Suffolk County, Massachusetts",2815,14,135,246,324,351,131,657,52,218,293,394
1400000US25025050901,25025050901,"Census Tract 509.01, Suffolk County, Massachusetts",2677,8,176,110,279,244,91,602,56,276,118,717
1400000US25025051000,25025051000,"Census Tract 510, Suffolk County, Massachusetts",1923,30,102,203,275,242,51,517,47,25,169,262
1400000US25025051101,25025051101,"Census Tract 511.01, Suffolk County, Massachusetts",3524,95,64,177,304,322,187,885,136,181,627,546
1400000US25025051200,25025051200,"Census Tract 512, Suffolk County, Massachusetts",1304,0,84,117,148,203,80,226,28,155,135,128
1400000US25025060101,25025060101,"Census Tract 601.01, Suffolk County, Massachusetts",2293,17,97,162,392,461,217,578,39,39,150,141
1400000US25025060200,25025060200,"Census Tract 602, Suffolk County, Massachusetts",1189,0,17,106,117,217,196,267,52,60,81,76
1400000US25025060301,25025060301,"Census Tract 603.01, Suffolk County, Massachusetts",2002,36,68,338,201,331,192,346,75,81,174,160
1400000US25025060400,25025060400,"Census Tract 604, Suffolk County, Massachusetts",3103,0,309,394,444,672,207,506,123,138,123,187
1400000US25025060501,25025060501,"Census Tract 605.01, Suffolk County, Massachusetts",2705,33,150,350,322,531,178,459,190,132,198,162
1400000US25025060600,25025060600,"Census Tract 606, Suffolk County, Massachusetts",1807,33,211,241,226,225,153,285,27,101,210,95
1400000US25025060700,25025060700,"Census Tract 607, Suffolk County, Massachusetts",729,3,30,109,98,114,26,109,45,52,94,49
1400000US25025060800,25025060800,"Census Tract 608, Suffolk County, Massachusetts",3283,34,182,142,298,669,561,792,128,213,162,102
