Neighborhood,Drive Alone,Carpool,Public Transit,Walk,Other
Allston,-2266,520,4618,2670,547
Back Bay,-2927,482,2499,3469,344
Beacon Hill,-1058,73,1164,3640,203
Brighton,-12009,1706,9027,2640,772
Charlestown,-4314,906,2452,1200,171
Dorchester,-23644,5531,18869,2289,720
Downtown,-1323,275,1506,4053,270
East Boston,-6999,1932,11874,1061,217
Fenway,-2135,431,4112,7189,405
Harbor Islands,0,0,41,3,0
Hyde Park,-10326,1735,3856,426,85
Jamaica Plain,-8274,1590,9300,1148,1273
Longwood Medical Area,-130,61,452,1106,50
Mattapan,-4412,1463,3770,341,147
Mission Hill,-1550,280,3241,2047,604
North End,-1340,127,1479,3480,152
Roslindale,-7947,1484,3732,255,428
Roxbury,-6537,1070,7109,1792,443
South Boston,-8348,1404,6966,1713,316
South Boston Waterfront,-527,100,466,348,85
South End,-4443,562,5495,5434,562
West End,-570,42,686,1297,201
West Roxbury,-11331,1338,2332,279,126
