route,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4,nk,,,,,,,0.177083333,0.56875,0.435416667,0.166666667,,,,,,0.438095238,0.633333333,0.668518519,0.092592593,,,,,
5,nk,,,,,,,,,,1.705555556,1.283333333,-0.225,0.755555556,0.277777778,0.955555556,0.005555556,,,,,,,,
7,nk,,,,,,0.708333333,0.510416667,0.846296296,0.677777778,0.481818182,-0.027083333,0.152083333,0.302083333,0.458333333,0.304166667,0.429166667,0.529166667,0.604166667,0.40625,0.285416667,0.308333333,0.441666667,0.05,
8,nk,0.664814815,0.661111111,,,,-0.038541667,-0.018518519,0.983333333,0.607894737,1.25530303,1.080833333,0.925,0.725833333,0.77,0.983333333,1.508333333,1.495,1.106666667,0.248333333,0.4525,0.675833333,0.913333333,0.835,0.93
9,nk,-0.666666667,3.636666667,,,,0.531666667,0.278333333,0.416666667,0.386666667,0.513636364,0.898333333,0.696666667,0.883333333,0.465,-0.25,0.463333333,0.656666667,0.89,0.721666667,0.318333333,-0.1,0.153333333,0.035,-0.223333333
10,nk,-0.572222222,-0.205555556,-0.3,,0.966666667,0.5375,0.451041667,0.329166667,0.532142857,0.92,0.75952381,0.642857143,0.829761905,0.323809524,0.301190476,0.428571429,0.56547619,0.719047619,0.472619048,0.344047619,0.323809524,0.120238095,-0.065555556,0.975
11,nk,0.088888889,1.666666667,,,,0.408333333,0.522222222,0.422222222,0.615277778,0.430555556,0.575,0.661111111,0.805555556,0.681944444,0.683333333,0.95,0.981944444,1.218055556,0.761111111,0.466666667,0.022222222,0.423611111,0.438888889,0.404166667
14,nk,,,,,,-0.216666667,0.213888889,-0.05462963,-0.221296296,0.238888889,-0.281481481,0.409259259,0.635185185,0.247058824,-0.047222222,0.207407407,0.552777778,0.948148148,0.186111111,-0.552777778,11.11666667,,,
16,nk,0.396666667,-0.025,-0.12,,,-0.098333333,0.102380952,0.267708333,-0.05952381,0.265625,1.234444444,0.738888889,0.915277778,0.791025641,0.253571429,0.130208333,0.932352941,0.860416667,0.089583333,0.443589744,0.320833333,0.112820513,0.188095238,0.128333333
17,nk,,,,,1.677777778,0.23125,0.335416667,0.36875,0.5,0.291666667,0.614583333,0.735416667,0.14375,0.666666667,0.379166667,0.697916667,0.935416667,0.664583333,0.091666667,0.129166667,0.164583333,0.2375,-0.275,
18,nk,,,,,,,0.366666667,0.402777778,1.391666667,1.333333333,0.836111111,1.391666667,1.827777778,1.394444444,0.430555556,0.213888889,1.238888889,1.533333333,-0.144444444,,,,,
19,nk,,,,,,,0.335416667,0.321333333,0.165217391,0.165217391,0.156666667,0.43,0.981111111,0.435555556,0.733333333,0.53125,0.957971014,0.87173913,0.339130435,0.438888889,1.05,,,
21,nk,-0.085,,,,-0.306666667,0.233333333,0.486666667,0.538333333,0.558333333,0.34,0.131666667,0.208333333,0.338333333,0.678333333,0.541666667,0.373333333,0.598333333,0.588333333,0.33,0.381666667,0.231666667,0.225,0.176666667,0.113333333
24,nk,0.382142857,,,,,0.17,0.372222222,0.391666667,0.358333333,-0.05,-0.286111111,-0.183333333,0.225,0.275,0.538888889,0.622222222,0.613888889,0.6,0.144444444,0.22,0.096428571,0.270238095,0.235714286,0.475
26,nk,-0.041666667,-0.620833333,,,-0.25,-0.043333333,-0.175,0.21875,0.1875,0.364583333,0.036666667,0.153333333,0.2,0.25,0.329166667,0.622916667,1.195833333,1.425,0.797916667,0.666666667,1.11,0.67,0.1,-0.216666667
27,nk,,,,,,0.047916667,0.225,0.30625,-0.195833333,0.06875,0.183333333,0.091666667,0.297916667,0.241666667,0.179166667,0.147916667,-0.033333333,0.65625,0.59375,0.441666667,,,,
29,nk,0.273148148,1.090277778,,,,0.108333333,0.438095238,0.489285714,0.119444444,0.257407407,0.3,0.265625,0.620833333,0.411458333,0.714705882,0.28,0.57037037,0.246296296,-0.251851852,-0.45,0.182407407,0.063888889,0.365740741,0.252777778
30,nk,-0.0875,,,,,0.454166667,-0.233333333,0.075,0.3375,0.402083333,-0.247916667,0.245833333,0.454166667,0.054166667,0.435416667,0.814583333,1.18125,0.8625,1.252083333,-0.079166667,0.145833333,0.5375,0.225,0.095833333
31,nk,-0.09375,2.133333333,,,0.236111111,0.152083333,0.40625,0.36875,0.422916667,0.59375,0.325,0.227083333,0.047916667,0.24375,0.514583333,0.1375,0.497916667,0.483333333,0.29375,0.1125,-0.177083333,-0.272916667,-0.4125,0.020833333
33,nk,,,,,,0.20625,-0.198717949,-0.247916667,-0.54375,-0.5125,-0.404166667,-0.10625,-0.60625,-0.727083333,0.196296296,0.307142857,0.7375,0.729166667,-0.579166667,-0.037179487,,,,
34,nk,0.081944444,-0.231944444,0.063888889,,0.147916667,0.154166667,0.370833333,0.38,0.452777778,0.816666667,0.172222222,0.233333333,0.531944444,-1.128571429,0.576666667,0.4625,0.491666667,0.493055556,0.169444444,0.105555556,0.186111111,0.423611111,0.280555556,-0.006944444
35,nk,,,,,,-1.035714286,0.592592593,0.963636364,1.247916667,0.458333333,-0.011111111,0.444444444,0.52,0.172222222,0.292982456,0.441111111,0.429166667,0.306944444,0.383333333,0.047222222,-0.241666667,-0.533333333,,
36,nk,-0.068333333,0.75,-0.894444444,,-0.076190476,-0.058333333,-0.147916667,0.45,0.3,0.5,0.194047619,0.278205128,0.032142857,-0.241666667,0.175,0.410714286,0.751190476,0.838888889,0.514444444,0.228888889,0.068333333,0.068333333,0.125641026,0.141666667
37,nk,,,,,,0.223333333,-0.103703704,-0.227777778,0.005,0.160416667,-0.008333333,0.505,0.40625,-0.160416667,1.38778E-17,-0.213333333,0.448333333,0.32,0.34,-0.004166667,0.283333333,,,
38,nk,,,,,,0.809259259,0.516666667,0.616666667,0.948333333,0.34,0.278333333,0.545,0.3,-0.987179487,-1.256410256,0.77,0.685,0.883333333,0.373333333,0.05,0.177777778,-0.272222222,-0.013333333,0.383333333
40,nk,,,,,,-1.403333333,0.82,1.526666667,1.6,1.508333333,0.671666667,1.038333333,0.725,1.09,0.741666667,0.548333333,1.003333333,0.596666667,0.271666667,0.135,0.20952381,0.307142857,,
41,nk,,,,,,0.7125,1.010416667,0.725,2.085416667,0.480208333,0.747916667,0.884375,0.932291667,1.017708333,0.5625,1.167708333,1.072916667,1.7125,0.5,0.997916667,0.715625,-0.337037037,,
42,nk,-0.330555556,-0.458333333,,,,0.294444444,0.294444444,0.244444444,0.713888889,0.508333333,-0.066666667,-0.038888889,0.438888889,0.605555556,0.558333333,0.430555556,0.866666667,1.572222222,0.461111111,0.091666667,0.283333333,0.308333333,0.3,-0.077777778
43,nk,-0.189583333,0.070833333,,,,-0.058333333,0.5875,0.704166667,0.814583333,0.547916667,0.385416667,0.214583333,0.495833333,0.177083333,0.45,0.264583333,0.366666667,0.35625,0.433333333,0.216666667,0.55625,-4.16334E-17,0.291666667,0.145833333
44,nk,0.251190476,0.20952381,,,,0.204761905,0.442857143,0.295238095,0.282142857,0.185714286,0.366666667,0.317857143,0.116666667,0.311904762,0.277380952,0.375,0.246428571,0.326190476,-0.025,0.057142857,0.28452381,0.266666667,0.276190476,0.127380952
45,nk,0.1,-0.973333333,2.633333333,,,-0.313888889,-0.011111111,0.236111111,-0.123611111,0.080555556,0.152777778,0.609722222,0.290277778,0.194444444,0.166666667,0.175,0.370833333,0.672222222,0.506944444,0.345833333,0.201388889,0.45,0.456944444,0.088888889
47,nk,0.558333333,1.207142857,,,,0.388095238,0.698809524,0.545238095,0.678571429,0.58452381,0.470238095,0.464285714,0.896428571,0.697619048,1.422619048,1.727380952,1.482142857,1.679761905,0.864285714,0.697619048,0.772619048,0.663095238,0.855952381,0.425
50,nk,,,,,,0.091666667,0.06875,0.74375,0.75,0.410416667,0.33125,0.204166667,0.31875,0.745833333,0.727083333,0.158333333,0.558333333,0.525,0.3,-0.327083333,,,,
51,nk,,,,,,1.366666667,0.277272727,0.494047619,0.113888889,0.348611111,-0.031944444,0.311111111,0.229166667,0.404166667,0.544444444,-0.309375,0.588888889,0.506944444,0.436111111,0.358333333,-0.031944444,-0.084722222,-0.366666667,
52,nk,,,,,,,-0.333333333,0.529411765,0.141666667,0.03015873,0.351111111,0.456410256,1.196969697,0.991666667,0.751851852,0.355833333,0.606349206,1.151515152,0.562121212,0.051960784,0.066666667,,,
55,nk,,,,,,-0.5,1.669444444,3.70074E-17,-0.555555556,1.180555556,-0.1,-0.527777778,2.094444444,1.522222222,0.511111111,0.261111111,0.902777778,1.863888889,1.747222222,2.069444444,0.5,0.325,0.675,-0.816666667
59,nk,,,,,,,-0.152380952,0.202222222,-0.023529412,0.091111111,-0.114705882,0.235714286,0.598611111,0.258823529,0.467647059,0.595098039,0.46875,0.851190476,-0.15,-0.467857143,-0.858333333,,,
60,nk,-0.355555556,,,,-0.4125,0.09,0.575555556,0.217777778,0.201111111,0.342222222,0.193333333,0.078888889,0.392222222,0.698888889,0.434444444,0.163333333,0.371111111,0.832222222,0.556666667,0.52,0.162222222,0.054444444,0.063333333,0.096666667
62,nk,,,,,,-0.120833333,0.053921569,0.830208333,0.967708333,1.188541667,0.252083333,0.033333333,0.707291667,0.536458333,0.242708333,0.983333333,0.642708333,1.21875,0.75625,0.86372549,0.428571429,0.123333333,,
64,nk,1.45625,12.52666667,,,,-0.145833333,-0.671666667,1.122916667,0.764583333,1.11,-0.05,0.1625,0.545833333,0.439583333,0.135416667,1.147916667,2.240740741,0.802083333,1.27037037,0.837037037,0.522916667,0.05,1.01875,0.004166667
65,nk,,,,,,,0.113636364,-0.684848485,-0.062121212,0.131818182,-0.021212121,0.468181818,1.015151515,0.736363636,0.548484848,0.637878788,0.110606061,0.531818182,0.437878788,0.148484848,0.140909091,-0.1,,
67,nk,,,,,,-1.916666667,0.277777778,0.044444444,0.116666667,0.333333333,0.069444444,0.066666667,0.308333333,0.127777778,-0.077777778,0.433333333,0.958333333,0.769444444,0.111111111,0.972222222,-0.391666667,,,
68,nk,,,,,,,-0.808333333,1.608333333,1.370833333,0.483333333,0.158333333,0.241666667,0.254166667,-0.1375,0.316666667,0.4875,0.608333333,1.291666667,1.033333333,2.791666667,,,,
69,nk,-0.122222222,-0.270833333,,,,-0.408333333,-0.055555556,0.827777778,0.644444444,0.583333333,0.583333333,0.877777778,1.202777778,1.15,-0.733333333,0.542857143,0.866666667,1.497222222,0.413888889,0.205555556,0.252777778,0.047222222,0.094444444,0.052777778
70,nk,1.354444444,3.781481481,,,0.833333333,0.574242424,0.038095238,1.014444444,1.585714286,0.775,0.380952381,0.438095238,1.21547619,0.908333333,0.480952381,1.062222222,0.804444444,1.444444444,0.73452381,0.541666667,0.378571429,0.197619048,0.321428571,0.835714286
72,nk,,,,,,0.033333333,0.00625,0.218518519,1.010416667,0.127083333,-0.164583333,0.079166667,0.09375,0.058333333,-0.133333333,0.064583333,0.05625,0.489583333,0.052083333,0.2375,-0.177083333,-0.225,-0.3625,-0.50625
74,nk,-0.172222222,-0.704166667,,,,-0.177272727,0.625,1.0625,0.658333333,0.340277778,0.723611111,0.781944444,0.506944444,0.261111111,0.476388889,0.579166667,0.254166667,0.148611111,0.138888889,0.384722222,2.679166667,-0.009722222,-0.245833333,0.034722222
75,nk,,,,,,,0.55,0.94,1.116666667,0.756666667,0.68,0.861666667,-0.064285714,0.746666667,0.738333333,0.521666667,1.3875,1.118333333,0.968333333,1.004761905,-0.053333333,,-0.166666667,
76,nk,,,,,,,0.343333333,0.327777778,0.418888889,0.307777778,0.091111111,0.26,0.266666667,0.168888889,-0.037777778,-0.117777778,-0.514444444,0.661111111,0.59,0.576041667,0.018055556,0.244047619,0.07037037,
78,nk,0.473809524,,,,,-0.104166667,0.219047619,0.721111111,0.4625,0.345238095,0.113095238,0.057142857,0.027380952,0.048809524,0.14047619,0.280952381,0.410416667,0.301190476,0.009803922,0.026190476,0.263095238,-0.09047619,0.205952381,0.139285714
79,nk,,,,,,,0.123333333,0.206666667,0.196666667,0.378333333,0.038333333,0.218333333,0.265,0.196666667,0.585,0.35,0.565,0.925,0.395,0.178333333,0.278333333,0.113333333,-0.166666667,
80,nk,0.202777778,-0.6,,,,0.572222222,0.451388889,1.005555556,0.644444444,0.370833333,-0.122222222,-0.109722222,-0.144444444,0.327777778,0.379166667,0.679166667,0.8125,1.141666667,0.495833333,0.375,-0.011111111,-0.225,0.170833333,0.216666667
83,nk,-0.297916667,2.8375,,,,0.104166667,0.229166667,0.704166667,1.070833333,0.716666667,0.510416667,0.23125,0.4125,0.547916667,-1.053703704,1.385416667,1.466666667,1.035416667,0.0625,0.216666667,-0.352083333,0.06875,0.647916667,0.095833333
84,nk,,,,,,,0.170833333,-0.435416667,-0.33125,0.020833333,,,,,,,-0.25,0.6625,-0.15625,-0.395833333,,,,
85,nk,,,,,,0.916666667,0.8375,0.658333333,0.608333333,0.525,1.083333333,0.175,1.4,1.045833333,0.625,1.333333333,1.570833333,1.366666667,0.9,0.716666667,,,,
86,nk,0.3125,-0.423333333,,,,-0.521666667,-1.022222222,-0.668055556,-0.126388889,-0.2,-1.091666667,-0.334722222,0.063888889,-0.341666667,-0.401388889,0.233333333,-0.768055556,0.252777778,0.584722222,0.05,-0.201388889,-0.143055556,0.286111111,1.029166667
87,nk,-0.284722222,-0.038095238,,,,-0.091666667,0.40952381,0.677380952,0.880952381,0.636904762,0.316666667,0.465625,0.295238095,0.452380952,0.253571429,0.351190476,0.561904762,0.520238095,0.192857143,-0.035714286,-0.141666667,-0.256944444,-0.069444444,-0.076388889
88,nk,0.331944444,-0.172222222,,,,0.088888889,-0.036111111,0.934615385,1.053846154,0.076388889,-0.088888889,-0.054166667,0.052777778,0.047222222,-0.026388889,1.85037E-17,0.240277778,0.15,-0.002777778,-0.045833333,0.029166667,-0.025,0.272222222,-0.041666667
89,nk,-0.388888889,-2.676666667,,,,0.224074074,0.168333333,0.621666667,0.598333333,0.253333333,-0.165,0.02,-0.026666667,0.126666667,0.128787879,-0.068333333,0.286666667,0.756666667,0.195,0.095,-0.294444444,-0.094444444,-0.855555556,0.177777778
90,nk,,,,,,,-1.141666667,0.875,1.210416667,-0.052083333,-1.15,-0.3875,0.1875,-0.977083333,-0.969047619,-0.739583333,-8.67362E-17,0.433333333,-0.89375,-0.527083333,-0.329166667,-0.55625,-0.616666667,
91,nk,-1.025,-1.761111111,,,,0.080555556,0.569444444,0.719444444,0.497222222,0.138888889,0.658333333,0.177777778,0.388888889,0.308333333,1.005555556,1.102777778,1.072222222,1.127777778,0.172222222,0.325,0.183333333,0.055555556,0.408333333,-0.227777778
92,nk,,,,,,-0.4625,-0.197916667,-0.045833333,0.133333333,-0.543333333,0.038333333,0.256666667,0.225,0.67,-0.075,0.596666667,0.121666667,0.3375,0.208333333,-0.108333333,0.163888889,-0.358333333,-0.1,
93,nk,-0.666666667,-0.683333333,,,,0.041666667,0.21875,0.233333333,0.354166667,-0.114814815,0.311111111,0.272222222,0.540740741,0.503333333,-0.066666667,0.62962963,0.922222222,1.17962963,1.17962963,0.045833333,0.119444444,-0.016666667,-0.119444444,-0.461111111
94,nk,-0.118333333,0,,,,-0.143333333,0.135,1.351388889,1.056666667,0.385,0.505,0.246666667,0.616666667,0.218333333,0.58,0.475,1.06,0.918333333,0.575,0.138333333,0.013333333,0.291666667,0.405,0.176666667
95,nk,-0.888888889,-1.055555556,,,,0.185714286,0.5,1.608333333,0.991666667,0.741666667,0.677777778,0.341666667,0.638888889,0.563888889,-0.055555556,0.485714286,1.094444444,0.638888889,0.297916667,0.825,-0.497222222,-0.533333333,0.097222222,-0.241666667
96,nk,-0.297619048,-0.651851852,,,,0.1,0.096428571,0.363333333,0.632222222,0.324444444,-0.122619048,-0.077380952,0.135714286,0.195238095,-0.171428571,0.288095238,0.298809524,0.339285714,0.344047619,0.185714286,-0.183333333,-0.246428571,-0.103571429,-0.020238095
97,nk,,,,,,,0.691666667,1.04375,0.539583333,0.452083333,0.21875,0.95625,0.704166667,0.145833333,1.054166667,0.666666667,0.989583333,1.508333333,0.679166667,0.05,,,,
99,nk,-0.41,-0.095833333,,,,,0.771666667,1.128333333,1.071666667,0.561666667,0.103333333,0.161666667,1.083333333,0.691666667,0.615,0.536666667,1.486666667,1.446666667,0.591666667,0.183333333,-0.13,-0.186666667,-0.151666667,-0.186666667
100,nk,-0.314583333,,,,,-0.25,-0.088888889,0.60625,0.702083333,0.308333333,0.10625,0.027083333,0.102083333,0.170833333,0.010416667,0.266666667,0.2625,0.29375,0.275,0.275925926,0.2875,0.327083333,-0.095833333,-0.122916667
101,nk,0.564285714,7.916666667,,,1.416666667,0.923809524,0.920238095,1.58125,1.013095238,0.317857143,0.510714286,0.583333333,0.863095238,0.732142857,0.922222222,1.711111111,1.246428571,0.89047619,0.257142857,0.051111111,0.597619048,0.511904762,0.591666667,0.711904762
104,nk,-0.21,5.066666667,,,,0.075,0.03,-0.153333333,-0.248333333,0.043333333,0.491666667,0.931666667,1.426666667,1.201666667,0.491666667,0.425,0.958333333,1.425,0.593333333,0.246666667,0.298333333,0.505,0.143333333,0.211666667
105,nk,,,,,,0.65,0.152083333,0.075,-0.6625,0.010416667,-0.15625,0.328571429,0.239583333,0.03125,0.466666667,0.379166667,0.922916667,1.26875,1.06875,0.939583333,,,,
106,nk,-0.422222222,3.677777778,,,,0.073611111,-0.103846154,0.356666667,0.921875,0.086904762,0.147619048,0.13452381,1.01547619,0.363095238,0.86547619,0.853921569,0.430769231,1.047222222,0.346153846,0.529487179,0.386111111,0.176388889,-0.143055556,-0.104166667
108,nk,0.258333333,-0.703333333,,,,0.396666667,0.46,0.82,-0.021666667,-0.175,0.608333333,0.431666667,0.43,0.068333333,0.306060606,0.861666667,0.985,1.31,0.936666667,0.583333333,-0.008333333,-0.22,0.175,0.21
109,nk,0.004545455,1.525,,,-0.233333333,0.231944444,0.034722222,0.109722222,-0.191666667,-0.058333333,0.330555556,0.640277778,0.938888889,0.745833333,0.458333333,0.445833333,0.825,0.986111111,0.227777778,-0.140277778,-0.1375,-0.059722222,-0.145833333,-0.173611111
110,nk,-0.094047619,1.413333333,,,,0.306666667,-0.061538462,0.296666667,0.164285714,-0.06547619,0.158333333,-0.069047619,0.058333333,-0.073809524,-0.013095238,0.314285714,0.164444444,0.317777778,0.398888889,-0.088095238,0.102380952,0.071428571,0.108333333,0.142857143
112,nk,,,,,,,0.806666667,0.993055556,0.888888889,0.475,0.5625,1.359722222,0.648611111,-0.636111111,1.081944444,1.35,1.359722222,1.416666667,0.381944444,0.45,-0.280555556,,,
114,nk,,,,,,,,,,0.822222222,0.272222222,0.408333333,0.241666667,1.097222222,0.786111111,0.727777778,1.163333333,,,,,,,
119,nk,,,,,,0.666666667,0.089583333,-0.042592593,-0.105555556,-0.116666667,0.228571429,1.185714286,0.90625,0.472916667,0.827083333,1.683333333,1.44375,1.116666667,0.710416667,0.566666667,1.329166667,0.670833333,2.43125,
120,nk,-0.558333333,1.329166667,,,,0.302777778,0.9,-1.316666667,0.445833333,0.220833333,0.485416667,0.683333333,0.414583333,0.622916667,0.975925926,1.016666667,1.445833333,1.985416667,0.508333333,-0.095833333,0.447916667,0.547916667,0.370833333,-0.33125
121,nk,,,,,,,0.105555556,0.183333333,0.472222222,2.75,,,,,,-0.1125,0.229166667,0.5125,-0.3625,,,,,
131,nk,,,,,,,-0.146969697,0.330769231,0.301666667,0.171794872,-0.291666667,0.983333333,0.264102564,0.075641026,0.307692308,0.674242424,1.283333333,0.681666667,0.178333333,-0.140909091,,,,
132,nk,,,,,,1.454166667,0.885416667,0.139583333,0.7875,0.825,0.895833333,0.808333333,0.8875,1.104166667,0.870833333,0.3875,0.783333333,0.985416667,0.51875,0.422916667,,,,
134,nk,0.058333333,-0.361111111,,,,0.321666667,0.745098039,0.519166667,0.567647059,0.403703704,0.202631579,0.689814815,0.587719298,0.484259259,-0.061666667,0.064912281,0.352941176,0.596078431,0.260416667,-0.23627451,-0.062121212,0.452777778,0.169444444,0.033333333
136,nk,,,,,,0.161111111,0.708333333,1.178571429,0.95952381,0.28452381,0.973076923,0.557692308,0.997619048,0.547619048,1.113095238,0.675,1.604166667,1.032142857,1.014285714,0.879487179,0.04,0.366666667,,
137,nk,,,,,,,0.608333333,0.982142857,0.223809524,0.403846154,0.666666667,0.721428571,0.996428571,0.63452381,0.766666667,0.969230769,0.96547619,0.511904762,0.496428571,0.113095238,0.112962963,-0.05,0.440740741,
170,nk,,,,,,,-0.783333333,0.716666667,5.15,,,,,,,,-0.336111111,1.233333333,1.741666667,,,,,
171,nk,,,,1.683333333,1.320833333,4.316666667,,,,,,,,,,,,,,,,,,
191,nk,,,,,1.142857143,0.001282051,-0.316666667,,,,,,,,,,,,,,,,,
192,nk,,,,,-0.388095238,0.235897436,,,,,,,,,,,,,,,,,,
193,nk,,,,,0.858333333,-0.129166667,,,,,,,,,,,,,,,,,,
194,nk,,,,,0.019047619,-0.85,,,,,,,,,,,,,,,,,,
201,nk,0.496666667,8.233333333,,,,-0.493333333,0.066666667,0.376666667,0.453333333,0.064285714,0.154761905,-0.038095238,0.061904762,0.138095238,0.442857143,0.438888889,0.144444444,0.922222222,0.247222222,0.42,0.313333333,0.296666667,-0.18,0.206666667
202,nk,,,,,,-0.144444444,0.297222222,0.819444444,0.525,0.844444444,0.34375,0.019047619,0.069047619,0.183333333,0.766666667,0.21875,0.311111111,0.552777778,0.222222222,0.766666667,,,,
210,nk,,-1.025,,,,-0.357407407,0.377777778,1.472222222,1.236111111,0.216666667,0.244444444,0.541666667,0.888888889,0.476388889,0.280555556,0.401388889,0.4,0.920833333,-0.106944444,0.554166667,,,,
211,nk,,,,,,0.575,0.975,0.501666667,0.511666667,0.258333333,0.7625,0.720833333,0.23125,0.414583333,-0.25,0.993333333,0.391666667,0.711666667,0.403333333,0.471428571,0.033333333,,,
212,nk,,,,,,,0.277777778,0.105555556,-0.113888889,0.275,,,,,-0.916666667,0.59,0.591666667,0.311111111,0.913888889,0.077777778,,,,
214,nk,,,,,,,0.247222222,0.644444444,0.005555556,0.627777778,0.372222222,0.336111111,0.194444444,0.175,-1.835714286,-0.077777778,0.113888889,0.275,0.283333333,,,,,
215,nk,-0.966666667,,,,,0.088541667,0.233333333,0.650980392,0.245833333,0.025,-0.144791667,-0.034375,0.367708333,0.1625,0.151041667,0.230208333,0.504166667,0.909375,0.153125,0.419791667,0.022916667,0.426041667,0.235416667,-0.032291667
216,nk,0.504761905,0.380952381,,,0.061111111,0.254761905,-0.02962963,0.261111111,-0.15,0.077777778,-0.113888889,0.052777778,0.213888889,0.269444444,0.29375,0.316666667,0.208333333,0.366666667,0.42962963,0.504761905,0.126190476,0.297619048,0.35952381,-0.04047619
217,nk,,,,,,,0.11,0.807142857,2.15,,,,,,1.470833333,0.205,,0.839583333,1.520833333,,,,,
220,nk,0.084722222,-0.063333333,,,,-0.257575758,0.1125,0.218055556,0.4125,0.533333333,0.130555556,0.077777778,0.35,0.345833333,0.220833333,0.426388889,0.052777778,0.247222222,0.166666667,-0.141666667,0.138888889,0.359722222,0.15,0.163888889
221,nk,,,,,,,-0.175,0.208333333,0.15,,,,,,0.333333333,4.316666667,,,0.544444444,,,,,
222,nk,-0.285,,,,,-0.04375,0.197222222,0.401388889,0.256944444,0.844444444,0.305952381,0.678205128,0.588461538,0.523076923,0.867948718,0.36025641,0.688461538,0.5375,0.4375,-0.090277778,0.281666667,0.291666667,0.195,-0.245
225,nk,-0.006666667,,,,,-0.323611111,0.239166667,0.307971014,0.458333333,0.257017544,0.082539683,0.027192982,0.305263158,0.126984127,0.305833333,0.503030303,0.717424242,0.845652174,0.270666667,-0.140666667,0.13245614,0.246875,-0.088095238,-0.038541667
230,nk,-0.05,,,,,0.065384615,0.191666667,0.425,0.267592593,0.199166667,0.271929825,0.403508772,0.34122807,0.246078431,0.457894737,0.658333333,0.669166667,0.837037037,0.437037037,0.222222222,0.151851852,0.169444444,0.141666667,-0.006481481
236,nk,,,,,,,0.023333333,1.160416667,0.201190476,0.057142857,-0.002380952,0.65,0.476190476,0.09047619,0.222619048,0.905952381,0.919230769,0.675,0.221428571,0.361904762,0.777272727,,,
238,nk,,,,,,0.58974359,0.340350877,0.518518519,0.533333333,0.376851852,0.171296296,0.287962963,0.480555556,0.252777778,0.628703704,0.875,0.65877193,0.996296296,0.409259259,0.51754386,0.019298246,0.371052632,-0.013541667,-0.338888889
240,nk,-0.35,-0.05,,,,0.201282051,0.463492063,0.394444444,0.490909091,0.46884058,0.426666667,0.689166667,0.368333333,0.394166667,0.447826087,0.699242424,0.635,0.4275,0.566666667,0.290909091,0.22,0.185833333,0.321875,-0.066666667
245,nk,,,,,,,0.383333333,0.521875,0.430392157,0.130952381,0.117857143,0.330952381,0.333333333,0.359722222,-1.741666667,0.324074074,0.364035088,0.590350877,0.555882353,-0.363095238,0.021428571,,,
277,nk,,,,,,,,,4.3,,,,,,,,,,,,,,,
325,nk,,,,,,,0.85,5.45,1.916666667,0.033333333,,,,,,,2.541666667,2.9,2.072222222,59.71666667,,,,
326,nk,,,,,,,0.761111111,1.893333333,0.502777778,1.833333333,,,,,,1.588888889,0.013888889,0.547222222,0.963888889,-0.05,,,,
350,nk,,,,,,,-0.183333333,0.008333333,-0.431818182,0.296666667,0.075,-0.076666667,-0.171666667,-0.014166667,-0.592857143,0.3525,0.5325,0.302380952,-0.0425,-0.079166667,-0.155,0.474166667,-0.360833333,-0.666666667
351,nk,,,,,,,0.02,-0.056666667,0.556666667,1.98,,,,,,-0.133333333,1.673333333,0.493333333,1.976666667,4.05,,,,
