Neighborhood,NID,Drive Alone,Carpool,Public Transit,Walk,Other
Harbor Islands,HI,0,0,41,3,0
Longwood Medical Area,LM,130,61,452,1106,50
South Boston Waterfront,SW,527,100,466,348,85
West End,WE,570,42,686,1297,201
Beacon Hill,BH,1058,73,1164,3640,203
Downtown,DT,1323,275,1506,4053,270
North End,NE,1340,127,1479,3480,152
Mission Hill,MH,1550,280,3241,2047,604
Fenway,FW,2135,431,4112,7189,405
Allston,AL,2266,520,4618,2670,547
Back Bay,BB,2927,482,2499,3469,344
Charlestown,CH,4314,906,2452,1200,171
Mattapan,MP,4412,1463,3770,341,147
South End,SE,4443,562,5495,5434,562
Roxbury,RB,6537,1070,7109,1792,443
East Boston,EB,6999,1932,11874,1061,217
Roslindale,RD,7947,1484,3732,255,428
Jamaica Plain,JP,8274,1590,9300,1148,1273
South Boston,SB,8348,1404,6966,1713,316
Hyde Park,HP,10326,1735,3856,426,85
West Roxbury,WR,11331,1338,2332,279,126
Brighton,BR,12009,1706,9027,2640,772
Dorchester,DC,23644,5531,18869,2289,720
