GEO.id,GEO.id2,Neighborhood,GEO.display-label,HD01_VD01,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13
1400000US25025000703,25025000703,Allston,"Census Tract 7.03, Suffolk County, Massachusetts",1469,95,159,111,351,55,324,190,81,103
1400000US25025000704,25025000704,Allston,"Census Tract 7.04, Suffolk County, Massachusetts",2699,27,210,274,410,61,528,378,421,390
1400000US25025000802,25025000802,Allston,"Census Tract 8.02, Suffolk County, Massachusetts",4891,253,467,697,557,280,769,601,702,565
1400000US25025000803,25025000803,Allston,"Census Tract 8.03, Suffolk County, Massachusetts",1562,498,227,275,153,82,155,71,40,61
1400000US25025010500,25025010500,Back Bay,"Census Tract 105, Suffolk County, Massachusetts",1474,317,115,193,254,210,139,40,103,103
1400000US25025010600,25025010600,Back Bay,"Census Tract 106, Suffolk County, Massachusetts",1623,132,340,238,280,113,237,129,108,46
1400000US25025010701,25025010701,Back Bay,"Census Tract 107.01, Suffolk County, Massachusetts",1728,196,248,190,248,170,233,179,179,85
1400000US25025010702,25025010702,Back Bay,"Census Tract 107.02, Suffolk County, Massachusetts",1417,161,193,283,256,137,203,63,74,47
1400000US25025010801,25025010801,Back Bay,"Census Tract 108.01, Suffolk County, Massachusetts",1790,250,218,361,313,42,180,129,275,22
1400000US25025010802,25025010802,Back Bay,"Census Tract 108.02, Suffolk County, Massachusetts",1689,41,170,305,281,98,371,153,220,50
1400000US25025020101,25025020101,Beacon Hill,"Census Tract 201.01, Suffolk County, Massachusetts",2519,256,221,705,520,200,233,95,124,165
1400000US25025020200,25025020200,Beacon Hill,"Census Tract 202, Suffolk County, Massachusetts",2923,436,386,708,665,186,192,195,114,41
1400000US25025020302,25025020302,Beacon Hill,"Census Tract 203.02, Suffolk County, Massachusetts",696,82,148,144,71,27,141,35,43,5
1400000US25025981700,25025981700,Beacon Hill,"Census Tract 9817, Suffolk County, Massachusetts",0,0,0,0,0,0,0,0,0,0
1400000US25025000100,25025000100,Brighton,"Census Tract 1, Suffolk County, Massachusetts",2067,133,393,300,381,55,449,131,116,109
1400000US25025000201,25025000201,Brighton,"Census Tract 2.01, Suffolk County, Massachusetts",2259,128,148,348,437,171,421,253,207,146
1400000US25025000202,25025000202,Brighton,"Census Tract 2.02, Suffolk County, Massachusetts",1794,147,120,217,196,189,473,136,249,67
1400000US25025000301,25025000301,Brighton,"Census Tract 3.01, Suffolk County, Massachusetts",1631,229,208,175,241,105,334,162,115,62
1400000US25025000302,25025000302,Brighton,"Census Tract 3.02, Suffolk County, Massachusetts",1844,158,32,152,194,199,468,151,302,188
1400000US25025000401,25025000401,Brighton,"Census Tract 4.01, Suffolk County, Massachusetts",2467,51,103,365,280,244,583,255,343,243
1400000US25025000402,25025000402,Brighton,"Census Tract 4.02, Suffolk County, Massachusetts",1844,145,118,198,200,123,235,244,354,227
1400000US25025000502,25025000502,Brighton,"Census Tract 5.02, Suffolk County, Massachusetts",2164,308,308,218,240,75,405,208,210,192
1400000US25025000503,25025000503,Brighton,"Census Tract 5.03, Suffolk County, Massachusetts",1375,42,45,41,135,66,314,267,263,202
1400000US25025000504,25025000504,Brighton,"Census Tract 5.04, Suffolk County, Massachusetts",2629,74,90,177,315,93,884,358,515,123
1400000US25025000601,25025000601,Brighton,"Census Tract 6.01, Suffolk County, Massachusetts",1746,140,167,208,145,61,473,232,273,47
1400000US25025000602,25025000602,Brighton,"Census Tract 6.02, Suffolk County, Massachusetts",1805,77,89,259,259,89,452,177,220,183
1400000US25025000701,25025000701,Brighton,"Census Tract 7.01, Suffolk County, Massachusetts",2529,90,82,208,235,162,541,513,357,341
1400000US25025040100,25025040100,Charlestown,"Census Tract 401, Suffolk County, Massachusetts",1218,51,97,177,219,147,223,210,63,31
