Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Wonderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revere Beach,39,0,0,0,0,32,73,86,77,87,95,150,191,235,347,530,933,1127,604,344,306,249,220,134
Beachmont,89,0,0,0,0,53,117,138,126,133,158,239,290,393,546,839,1312,1452,861,563,490,446,388,294
Suffolk Downs,127,0,0,0,0,62,144,153,142,177,199,309,376,512,725,1135,1715,1938,1070,741,631,590,527,429
Orient Heights,131,0,0,0,0,64,150,160,151,186,223,347,442,556,782,1206,1802,2041,1120,769,678,616,550,448
Wood Island,174,0,0,0,0,86,177,1969,194,233,285,433,555,680,1075,1612,2299,2600,1410,1027,912,806,756,642
Airport,208,0,0,0,0,108,239,234,212,256,315,473,611,723,1230,1813,2522,2793,1536,1124,998,913,867,747
Maverick,331,0,0,0,0,183,412,395,317,323,406,613,803,876,1574,2276,3072,3281,1864,1415,1176,1201,1311,1058
Aquarium,513,0,0,0,0,231,550,621,507,459,564,818,1061,1235,2164,3186,4014,4189,2505,1831,1564,1685,1936,1702
State,447,0,0,0,0,242,601,837,909,706,708,961,1115,1279,2066,3044,3641,3634,2218,1651,1405,1477,1595,1441
Government Center,333,0,0,0,0,100,147,304,421,379,386,516,642,741,1219,1786,2168,2112,1156,957,816,942,1024,1006
Bowdoin,0,0,0,0,0,9,4,15,35,31,39,46,56,69,109,252,353,321,84,0,0,0,0,0
