Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Forest Hills,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Green Street,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Stony Brook,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Jackson Square,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Roxbury Crossing,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Ruggles,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Mass. Ave.,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Back Bay,81,,,,,131,131,131,131,81,81,81,81,81,131,131,131,131,131,81,81,81,81,81
NE Medical Center,81,,,,,131,131,131,131,81,81,81,81,81,131,131,131,131,131,81,81,81,81,81
Chinatown,81,,,,,131,131,131,131,81,81,81,81,81,131,131,131,131,131,81,81,81,81,81
Downtown Crossing,81,,,,,131,131,131,131,81,81,81,81,81,131,131,131,131,131,81,81,81,81,81
State,81,,,,,131,131,131,131,81,81,81,81,81,131,131,131,131,131,81,81,81,81,81
Haymarket,81,,,,,131,131,131,131,81,81,81,81,81,131,131,131,131,131,81,81,81,81,81
North Station,81,,,,,131,131,131,131,81,81,81,81,81,131,131,131,131,131,81,81,81,81,81
Community College,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Sullivan Square,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Wellington,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Malden,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
Oak Grove,58,,,,,131,131,131,131,58,58,58,58,58,131,131,131,131,131,58,58,58,58,58
,,,,,,,,,,,,,,,,,,,,,,,,
tph-nb,4,0,0,0,0,3,6,11,11,12,9,7,7,8,8,9,11,12,11,8,6,6,6,6
tph-sb,4,0,0,0,0,2,9,11,12,11,9,7,7,8,9,8,12,12,10,7,6,6,6,6
avg-consist,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
