Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
JFK/UMass,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
Andrew,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
Broadway,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
South Station,87,,,,,167,167,167,167,87,87,87,87,87,167,167,167,167,167,87,87,87,87,87
Downtown Crossing,87,,,,,167,167,167,167,87,87,87,87,87,167,167,167,167,167,87,87,87,87,87
Park Street,87,,,,,167,167,167,167,87,87,87,87,87,167,167,167,167,167,87,87,87,87,87
Charles/MGH,87,,,,,167,167,167,167,87,87,87,87,87,167,167,167,167,167,87,87,87,87,87
Kendall/MIT,87,,,,,167,167,167,167,87,87,87,87,87,167,167,167,167,167,87,87,87,87,87
Central,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
Harvard,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
Porter,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
Davis,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
Alewife,57,,,,,167,167,167,167,57,57,57,57,57,167,167,167,167,167,57,57,57,57,57
,,,,,,,,,,,,,,,,,,,,,,,,
tph-nb,4,,,,,3,7,7,7,7,5,4,4,5,5,6,6,8,6,6,5,5,5,4
tph-sb,3,,,,,2,5,8,7,7,7,4,4,5,4,5,6,7,7,7,6,5,5,5
avg-consist,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
