Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
JFK/UMass,33,0,0,0,0,567,1959,3518,4587,2466,1300,944,912,800,940,1260,1179,1261,771,576,371,359,244,112
Andrew,33,0,0,0,0,616,2051,3683,4826,2639,1376,1014,977,869,999,1375,1258,1359,857,627,386,375,263,129
Broadway,41,0,0,0,0,619,2086,3764,5108,2726,1416,1058,1003,906,1047,1453,1307,1473,929,673,408,399,282,144
South Station,90,0,0,0,0,531,2082,3636,4646,2491,1401,1174,1161,1072,1239,1737,2008,2822,1770,1087,865,649,443,300
Downtown Crossing,65,0,0,0,0,484,1744,3085,3877,2057,1176,1010,987,1047,1085,1414,1922,2973,1874,1119,794,567,328,241
Park Street,148,0,0,0,0,467,1460,2339,2836,1640,1007,905,962,1076,1240,1549,2227,3550,2157,1504,1085,947,749,423
Charles/MGH,155,0,0,0,0,345,979,1917,2510,1494,922,852,908,986,1194,1585,2398,3821,2344,1637,1132,985,775,470
Kendall/MIT,161,0,0,0,0,279,742,1385,1631,1047,777,802,882,960,1171,1633,2695,4161,2576,1784,1244,1002,772,478
Central,135,0,0,0,0,232,600,1104,1377,862,637,677,757,791,1006,1454,2495,3685,2305,1568,1053,872,648,413
Harvard,111,0,0,0,0,121,302,518,545,367,297,355,425,468,670,1028,1974,2881,1775,1242,871,750,543,329
Porter,85,0,0,0,0,104,244,403,434,280,220,256,319,351,505,793,1442,2144,1302,942,650,583,402,235
Davis,28,0,0,0,0,91,187,297,288,140,102,125,156,159,254,424,822,1009,591,380,242,219,128,71
Alewife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
