id,RD_NAME,RD_DIRECTION,DIRECTION,BEGIN,END,S8AM,NS8AM
0,MA-3,Bay Village Eastbound,IN,Beginning of Route or Break,Charles St,0.988,0.966
1,US-1,Northbound,IN,I-93,I-93,1.078,1.043
2,John F Gilmore Brg,Northbound,IN,Beginning of Route or Break,Prison Point Brg,0.931,0.947
3,Cambridge St,Eastbound,IN,Beginning of Route or Break,I-93,0.939,0.895
4,Broadway,Eastbound,IN,MA-28/Edmands St/McGrath Hwy,Maffa Way/Mystic Ave,0.9,0.858
5,I-93,Charlestown Southbound,IN,Beginning of Route or Break,Cambridge St,0.396,0.34
6,Mystic Ave,Eastbound,IN,Beginning of Route or Break,Lombardi St,0.82,0.78
7,MA-99,Boston Southbound,IN,Beginning of Route or Break,Alford St,0.49,0.468
8,US-1,Southbound,IN,Mystic River/Tobin Brg (North),Mystic Riv/Tobin Brg Toll Plaza,0.68,0.528
9,Andrew McArdle Brg,Southbound,IN,Beginning of Route or Break,Nay St,0.999,0.949
10,Chelsea St,Southbound,IN,Beginning of Route or Break,Bennington St,0.959,0.948
11,MA-1A,Southbound,IN,MA-145/Revere Beach Pkwy,Boardman St,0.417,0.384
12,MA-145,Southbound,IN,Main St/Pleasant St,Bennington St,0.844,0.826
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,MA-3A,Neponset Northbound,IN,Newport Avenue Ext/Quincy Shore Dr,I-93/US-1/MA-3A/Southeast Expy,0.622,0.568
29,I-93,Northbound,IN,Granite Ave/Exit 11,MA-203/Gallivan Blvd/Exit 12,0.329,0.342
30,Granite Ave,Northbound,IN,I-93/US-1/MA-3/Southeast Expy,Adams St/Gallivan Blvd,0.831,0.821
31,Adams St,Westbound,IN,Canton Ave,Washington St/Dorchester Ave,0.926,0.84
32,Central Ave,Northbound,IN,Beginning of Route or Break,River St,0.964,0.98
33,MA-28,Northbound,IN,Canton Ave,Cummins Hwy,0.69,0.696
34,Neponset Valley Pkwy,Hyde Park Westbound,IN,Beginning of Route or Break,Truman Hwy,0.966,0.964
35,Milton St,Hyde Park Eastbound,IN,River St/Atlas Way,Neponset Valley Pkwy,0.965,0.969
36,Sprague St,Hyde Park Eastbound,IN,Beginning of Route or Break,W Milton St,0.982,0.977
37,River St,Eastbound,IN,Beginning of Route or Break,Neponset Valley Pkwy/Readville St,0.972,0.949
38,Dedham Pkwy,Northbound,IN,Beginning of Route or Break,Enneking Pkwy/Turtle Pond Pkwy,0.928,0.933
39,Bussey St,Northbound,IN,Beginning of Route or Break,Norfolk/Suffolk County Line,0.937,0.932
40,Washington St,Northbound,IN,Boston Providence Tpke/Vfw Pkwy,Grove St,0.899,0.909
41,Centre St,Northbound,IN,Beginning of Route or Break,Grove St,1.015,1.004
42,Vfw Pkwy,Northbound,IN,Beginning of Route or Break,MA-109/Spring St,0.809,0.837
43,MA-109,Eastbound,IN,Needham St,Boston Providence Tpke/Vfw Pkwy,0.913,0.885
44,Baker St,West Roxbury Southbound,IN,Beginning of Route or Break,Vfw Pkwy,0.976,0.979
45,Lagrange St,Southbound,IN,Corey St/Vine St,Vfw Pkwy,0.944,0.954
46,W Roxbury Pkwy,Southbound,IN,Grove St,Vfw Pkwy,0.987,0.989
47,Pond St,Eastbound,IN,Beginning of Route or Break,MA-203/Arborway/Cataumet St,0.961,0.937
48,MA-9,Bay Village Eastbound,IN,Jamaicaway/Riverway,Jamaicaway/Riverway,0.821,0.788
49,Brookline Ave,Eastbound,IN,River Rd,Riverway,0.903,0.832
50,Beacon St,Bay Village Eastbound,IN,Harvard St,MA-2/Park Dr,0.914,0.901
51,MA-2,Bay Village Eastbound,IN,US-20/MA-30/University Rd,Park Dr/Beacon St,0.946,0.952
52,Saint Paul St,Northbound,IN,Beacon St,US-20/MA-30/Commonwealth Ave,0.908,0.925
53,Harvard Ave,Allston Northbound,IN,Beacon St,US-20/Brighton Ave,0.915,0.918
54,Washington St,Riverside Westbound,IN,Beacon St,MA-30/Commonwealth Ave,0.943,0.892
55,Beacon St,Bay Village Eastbound,IN,Chestnut Hill Ave,Washington St,0.903,0.894
56,Chestnut Hill Ave,Brighton Northbound,IN,Beginning of Route or Break,Beacon St,0.808,0.811
57,MA-30,Allston Eastbound,IN,College Rd/Mount Alvernia Rd,Chestnut Hill Ave,0.955,0.936
58,Kenrick St,Brighton Eastbound,IN,Beginning of Route or Break,Lake St,0.968,0.963
59,Tremont St,Eastbound,IN,Beginning of Route or Break,Washington St,0.96,0.933
